"route","ssnt","ssme","ssnti","ssmei"
"124_68_048",-1127.85151480408,-581.122197874332,-2954.38986232266,-2961.71834896127
"124_68_049",-866.564416620308,-480.836995963312,-2149.2404474864,-2151.58417852228
"124_68_050",-1332.27124810219,-802.618741775788,-4704.4139941646,-4715.33230959345
"124_68_051",-848.420522627538,-543.988907012444,-2568.51554678247,-2571.098396857
"124_68_053",-1190.54195754488,-661.574318998965,-3348.1166171378,-3354.62025606419
"124_68_054",-1833.64669007316,-843.939746411307,-4314.75306248181,-4319.20858522558
"124_68_057",-998.290317428542,-543.653771854306,-3998.23540398173,-4007.2364638721
"124_68_061",-1207.54187570349,-579.310229895879,-3211.547548222,-3221.81767801662
"124_68_062",-1142.51290486154,-701.85690763517,-3961.41650293837,-3970.118493763
"124_68_064",-1194.04066150062,-557.143188601339,-2721.55669463969,-2727.41401538849
"124_68_066",-1308.83734437372,-868.066980809948,-3564.29447460265,-3563.54191524212
"124_68_072",-634.099697341525,-486.170809821358,-2261.97401951076,-2267.99614711482
"124_68_076",-1249.74858978512,-522.059823269294,-2941.81953379478,-2944.9096747175
"124_68_078",-1327.1858749266,-610.440636550189,-3326.5807928649,-3333.39048313784
"124_68_080",-609.08068141879,-401.966730105866,-1615.75788129223,-1621.42330984319
"124_68_083",-1276.64694168263,-807.907335473306,-4422.79336647985,-4432.44683214284
"124_68_113",-1144.28997414066,-759.785495340009,-5089.67227794102,-5103.55365677595
"124_68_117",-1676.64604905404,-902.149790863664,-5541.29355756544,-5560.8069402247
"124_68_119",-1705.04896320059,-824.620210142948,-5414.33519537409,-5423.86986974883
"124_68_127",-995.999195084295,-618.832684382348,-2445.04583561618,-2447.43308842551
"124_68_131",-1506.27553328304,-812.449225428576,-4106.15059887422,-4118.94335940123
"124_68_142",-1013.3687644176,-666.93444965154,-3945.45385363751,-3966.06968209351
"124_68_143",-919.208961992418,-433.835329982958,-2121.71350115768,-2127.408992668
"124_68_144",-824.010765341121,-609.587564643626,-1828.10248505472,-1826.47119712077
"124_68_202",-1284.75998556127,-575.557767414054,-5319.82562217211,-5327.33350607083
"124_68_203",-3108.6797051579,-983.924548888577,-14050.571685743,-14078.4197389897
"124_68_206",-1030.09755543628,-664.456291630622,-3490.43831768084,-3503.03701060695
"124_68_207",-1954.36151178736,-850.946841111264,-6073.56782722368,-6077.28044282798
"124_68_208",-1380.91737631199,-757.787651771948,-5589.97533427355,-5597.06086948249
"124_68_209",-1192.39329106871,-680.851058000804,-5353.67143881217,-5358.42210411027
"124_68_210",-1044.91700585886,-680.737741748366,-4157.15739999149,-4175.66035688911
"124_68_211",-1421.9214821432,-804.30106161762,-4424.21274422736,-4435.46163724941
"124_68_213",-2289.78566278327,-1050.17801878122,-5715.65363839847,-5725.65480500291
"124_68_214",-1255.69636752352,-825.545708661987,-5251.56096476392,-5267.19430494972
"124_68_215",-1314.7684363952,-783.420971402634,-3628.67210393816,-3630.56771313386
"124_68_216",-2096.73781833551,-910.46439112967,-7465.20009782301,-7481.61318150958
"124_68_217",-1367.83199237782,-773.578972361423,-3698.69574613804,-3712.78851881015
"124_68_218",-1036.96907428473,-641.026832112997,-2632.31853284869,-2635.54159801051
"124_68_219",-1239.77480038466,-660.115711490339,-4259.46966478005,-4270.94083257489
"124_68_220",-2700.85942702308,-1139.4765041102,-9346.08593460902,-9368.21375059084
"124_68_222",-1131.75531261125,-655.051673467968,-3920.67795997132,-3936.97942726588
"124_68_223",-1425.976399817,-845.048018511427,-5631.74145376643,-5652.88178387776
"124_68_224",-2349.09305785031,-839.566892443838,-7640.94585497055,-7655.94861560784
"124_68_225",-1410.59910835274,-777.936032031078,-7247.69133756536,-7282.83510310423
"124_68_226",-837.030686891465,-520.609406594609,-1843.73282360441,-1847.64461808611
"124_68_228",-1249.89966722667,-727.538061520639,-3713.51718806655,-3714.86870045423
"124_68_233",-1512.75496497431,-691.767917020381,-4146.81171825712,-4151.98232549325
"124_68_238",-1044.19390830777,-606.646619083562,-3270.15031479309,-3268.91554652038
"124_68_244",-1395.19936000963,-687.988232644556,-4538.79621084636,-4542.68870778492
"124_68_245",-2146.87443456017,-788.740000100958,-5852.31844007224,-5859.17707802396
"124_68_247",-1220.77501177501,-727.607601965187,-3801.57812574963,-3806.51879678689
"124_68_248",-629.696138805026,-382.221898681388,-1422.96998323875,-1422.66424133355
"124_68_251",-1262.58623738606,-660.075646836849,-4125.33470051491,-4122.94668202566
"124_68_252",-1283.49082274132,-632.535717127266,-3457.30050155195,-3457.76497890045
"124_68_256",-1072.05319733058,-517.345118744316,-2426.16938519819,-2423.98585708319
"124_68_265",-688.684948337268,-435.64926772342,-1648.4538646067,-1657.03261249141
"124_68_271",-593.613323522312,-374.904708797833,-1345.0776402715,-1344.44421211692
"124_68_274",-1078.89359988279,-590.064910711443,-3285.9269031911,-3294.95999025223
"124_68_277",-1545.90704842822,-648.166903797169,-3890.27122892067,-3894.61141344547
"124_68_278",-1110.47604285576,-475.300011873513,-2856.23663972313,-2857.42931609249
